2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer INFO] Running-Mode : root
2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer INFO] Build-Mode : Release
2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer INFO] ==================================================================
2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   Autodesk::LogAnalyzerClient::Initialize 
2023-04-09T16:52:04.251 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   connecting to IPC channel... 
2023-04-09T16:52:04.252 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Connected ]   Autodesk::LogAnalyzerClient::Connected 
2023-04-09T16:52:04.252 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   waiting for connection... 
2023-04-09T16:55:00.851 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::NewMessageAvailable ]   NewMessageAvailable: {"command":"EXIT_REQUEST","request":{"eventSource":7,"eventTarget":5},"source":"DDA_CORE","target":"DDA_LA","version":"DDA_V1"} 
2023-04-09T16:55:00.852 [Log Analyzer: 4472, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::HandleIPCMessage ]   Exit command received. Stop LogAnalyzer 
2023-04-09T16:55:00.852 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   Autodesk::LogAnalyzerClient::BreakConnection 
2023-04-09T16:55:00.852 [Log Analyzer: 4472, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::BreakConnection ]   destroying IPC channel... 
2023-04-09T16:55:00.853 [Log Analyzer: 4472, single] [LogAnalyzer INFO] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   Finish waiting for connection... 
2023-04-09T16:55:00.853 [Log Analyzer: 4472, single] [LogAnalyzer INFO] [ main ]   Log Analyzer exited 
2023-04-09T17:01:30.629 [Log Analyzer: 14356, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] OS-Name : Windows
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] OS-Version : 10.0
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] OS-Locale : en-IN
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] Running-Mode : root
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] Build-Mode : Release
2023-04-09T17:01:30.630 [Log Analyzer: 14356, single] [LogAnalyzer INFO] ==================================================================
2023-04-09T17:01:30.631 [Log Analyzer: 14356, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   Autodesk::LogAnalyzerClient::Initialize 
2023-04-09T17:01:30.631 [Log Analyzer: 14356, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Initialize ]   connecting to IPC channel... 
2023-04-09T17:01:30.631 [Log Analyzer: 14356, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::Connected ]   Autodesk::LogAnalyzerClient::Connected 
2023-04-09T17:01:30.632 [Log Analyzer: 14356, single] [LogAnalyzer DEBUG] [ Autodesk::LogAnalyzerClient::WaitForConnection ]   waiting for connection... 
2023-04-16T14:24:58.929 [Log Analyzer: 12788, single] [LogAnalyzer INFO] ======================== Start LogAnalyzer ========================
2023-04-16T14:24:58.930 [Log Analyzer: 12788, single] [LogAnalyzer INFO] Version : 1.39.0.3
2023-04-16T14:24:58.930 [Log Analyzer: 12788, single] [LogAnalyzer INFO] OS-Name : Windows
